Track URI;Track Name;Album Name;Artist Name(s);Year;Genres;Record Label;;
spotify:track:5E8fsTZfvnj7tuRvCnV4SV;"""Todos Juntos - 2020 Remasterizado""";"""La Ventana (2020 Remasterizado)""";"""Los Jaivas""";1972;"""latin folklore";folclor andino;;
spotify:track:15T3otpUnJKin5njR8x0Tx;"""El Baile De Los Que Sobran""";"""Pateando Piedras""";"""Los Prisioneros""";1986;"""latin rock";"rock en español""";;
spotify:track:1xtBatmC1muBOY1RnUvP8Z;"""Déjate Caer""";"""La Espada & la Pared""";"""Los Tres""";1995;"""latin rock";rock en español;;
spotify:track:6hgHu5Cj3fFGMl8DPtZdWS;"""Baño De Mar A Medianoche""";"""La Incomparable""";"""Cecilia""";1967;"""rock and roll""";"""EMI CHILE""";;
spotify:track:6As9jWGwGowXeSd2OiQzeg;"""Miño""";"""Canción De Lejos""";"""Los Bunkers""";2003;"""latin rock";rock en español;;
spotify:track:7M9UVXh4U227MXzhSLD4Pp;"""Rock Del Mundial""";"""La Orq. De los Años Felices""";"""The Ramblers""";1962;"""latin rock";"""EMI CHILE""";;
spotify:track:33nztJSpoZityjQp6rMT22;"""El Derecho de Vivir en Paz""";"""El Derecho de Vivir en Paz""";"""Victor Jara""";1971;"""latin folklore";nueva trova;;
spotify:track:5U7MyRNbuZrWkyAI4bm3Ja;"""Gracias a la Vida""";"""Mi Chile Lindo""";"""Violeta Parra""";1966;"""latin folklore";nueva trova;;
spotify:track:5IB4B0YHXlOPIjYohcONVA;"""Yo La Quería""";"""Viva Chile""";"""Electrodomésticos""";1987;"""latin rock""";"""EMI Odeon Chilena S.A.""";;
spotify:track:6Od0ZaUyAAWwAvBvoDwKME;"""La muerte de mi hermano""";"""Kaleidoscope Men""";"""Los Mac's""";1971;"""psychedelic rock""";"""ARCI""";;
spotify:track:6r7phAWjhQ34OOBSASkUv6;"""En Todas las Esquinas""";"""Para los Arqueologos del Futuro""";"""Congreso""";1973;"""latin folklore";nueva trova;;
spotify:track:0VvwpKqD7cOYubrK030fGR;"""La Voz de los '80""";"""La Voz de los '80 (Edición 30 Años)""";"""Los Prisioneros""";1984;"""latin rock";"rock en español""";;
